"Back","Back"
"Delete Job","Delete Job"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Job","Save Job"
"General Application","General Application"
"Job Applicants","Job Applicants"
"Job Manager","Job Manager"
"You deleted the Job.","You deleted the Job."
"We can't find a Job to delete.","We can't find a Job to delete."
"This Job no longer exists.","This Job no longer exists."
"Edit Job","Edit Job"
"New Job","New Job"
"Jobs","Jobs"
"Please correct the data sent.","Please correct the data sent."
"You saved the Job.","You saved the Job."
"Something went wrong while saving the Job.","Something went wrong while saving the Job."
"Your Application has been submitted","Your Application has been submitted"
"Something went wrong. Please try again","Something went wrong. Please try again"
"Careers","Careers"
"Could not save the applicant: %1","Could not save the applicant: %1"
"Applicant with id ""%1"" does not exist.","Applicant with id ""%1"" does not exist."
"Could not delete the Applicant: %1","Could not delete the Applicant: %1"
"Yes","Yes"
"No","No"
"Open","Open"
"Closed","Closed"
"Could not save the job: %1","Could not save the job: %1"
"Job with id ""%1"" does not exist.","Job with id ""%1"" does not exist."
"Could not delete the Job: %1","Could not delete the Job: %1"
"Edit","Edit"
"Delete","Delete"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.position }"""
"Are you sure you want to delete a ""${ $.$data.position }"" record?","Are you sure you want to delete a ""${ $.$data.title }"" record?"
" BACK TO JOB"," BACK TO JOB"
"Apply for this vacancy","Apply for this vacancy"
"e-mail","e-mail"
"john.doe@example.com","john.doe@example.com"
"confirm e-mail","confirm e-mail"
"first name","first name"
"surname","surname"
"phone/mobile","phone/mobile"
"address","address"
"zip code","zip code"
"city","city"
"country","country"
"Select Country","Select Country"
"CV document","CV document"
"choose file/upload","choose file/upload"
"supported file types: doc, docx, pdf, jpg, png","supported file types: doc, docx, pdf, jpg, png"
"Personal letter","Personal letter"
"I agree with the <a href=""%s"">stated terms</a>","I agree with the <a href=""%s"">stated terms</a>"
"Submit","Submit"
"Sorry. The Job is closed.","Sorry. The Job is closed."
"Sorry. The Deadline has crossed.","Sorry. The Deadline has crossed."
"Sorry. The Job isn't available for current store.","Sorry. The Job isn't available for current store."
"Apply now","Apply now"
"Check out this job link ","Check out this job link "
"I wanted you to see this job vacancy","I wanted you to see this job vacancy"
"Share page via e-mail","Share page via e-mail"
"Apply","Apply"
"GENERAL APPLICATION","GENERAL APPLICATION"
"job","job"
"published","published"
"status","status"
"VIEW","VIEW"
"No jobs posting for now. Please check back later","No jobs posting for now. Please check back later"
"New Application Received","New Application Received"
"Job Manager ","Job Manager "
"Emails Settings","Emails Settings"
"General","General"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Receiver Email","Receiver Email"
"Linkedin API Key","Linkedin API Key"
"Linkedin API","Linkedin API"
"View Settings","View Settings"
"Jobs Page Size","Jobs Page Size"
"List Closed Jobs","List Closed Jobs"
"Enable Ajax Pagination","Enable Ajax Pagination"
"ID","ID"
"Application For","Application For"
"Email","Email"
"First Name","First Name"
"Last Name","Last Name"
"Phone","Phone"
"Address","Address"
"Zipcode","Zipcode"
"City","City"
"Country","Country"
"CV","CV"
"Cover Letter","Cover Letter"
"General Information","General Information"
"Position","Position"
"Location","Location"
"Education","Education"
"Description","Description"
"Deadline","Deadline"
"Store View","Store View"
"Status","Status"
"Add new Job","Add new Job"
"Home","Home"
"Job","Job"
